d,glon,glat
3.66,333.48701,-4.05696
3.66,54.40084,-2.57153
3.67,1.39800,6.38480
3.69,359.11559,-1.71990
3.69,316.91620,4.12160
3.69,63.76218,0.72771
3.7,62.45739,9.55738
3.7,150.07382,-0.30843
3.7,42.58978,-14.52777
3.7,290.11021,-0.43389
3.72,48.08823,-2.38838
3.74,16.06601,-4.38965
3.74,330.63863,-3.61664
3.75,28.59686,1.65706
3.75,358.34606,-21.60520
3.76,197.37333,2.70781
3.76,250.37267,0.15150
3.76,14.75080,-11.88452
3.77,345.32104,-10.21530
3.77,26.74970,-1.21830
3.78,241.09189,2.35348
3.78,204.80576,2.74952
3.78,285.66852,-2.74303
3.79,326.04721,-2.46460
3.8,284.26151,-5.32860
3.8,312.61249,-1.89985
3.82,331.44811,0.56260
3.82,31.90733,-0.30973
3.82,60.55730,-5.83509
3.82,26.86264,-0.55099
3.83,0.23061,-1.92971
3.83,336.98020,-11.58073
3.83,336.22017,1.97288
3.86,189.18318,-7.69665
3.86,300.58885,-1.10867
3.86,324.08609,3.53116
3.87,355.89800,-4.43392
3.87,329.81009,-3.00780
3.88,319.21432,6.80663
3.88,36.08849,-1.47568
3.88,122.15193,-4.90318
3.89,69.21438,3.80787
3.89,21.82008,-0.47780
3.9,56.09617,2.09372
3.91,31.32706,-0.53372
3.92,345.90029,3.08634
3.93,304.58638,-4.82780
3.95,28.03925,10.26764
3.95,50.41199,5.28850
3.97,78.52815,18.72401
3.98,359.16577,15.11990
3.98,280.57997,1.80458
3.98,232.41451,-1.85056
3.98,60.13840,-7.73244
3.99,251.17700,-1.54765
3.99,336.82289,-7.23751
3.99,352.94722,11.39636
4,33.72318,-2.07534
4,27.67868,4.26038
4.01,19.11860,0.81770
4.01,233.53300,-16.31430
4.01,181.52978,0.92311
4.02,39.58645,-2.79202
4.02,10.47958,4.41509
4.04,326.76016,42.24142
4.05,197.27076,-14.23791
4.06,290.73398,-1.69558
4.08,141.73489,-7.80986
4.09,51.90691,-3.86708
4.09,275.51769,-1.32562
4.09,318.93219,0.69510
4.1,43.51200,-13.41020
4.1,274.69200,3.54358
4.1,355.16900,4.77620
4.11,328.23837,14.39606
4.11,56.82937,-6.96211
4.12,6.80269,4.16059
4.12,82.53120,-6.26958
4.13,45.72960,-3.81442
4.14,140.23630,6.07666
4.14,62.49376,-0.26996
4.14,11.01770,-2.94670
4.16,328.08301,1.82930
4.16,16.80200,6.96640
4.16,10.07836,-1.51347
4.17,70.52398,11.00695
4.18,51.48355,9.68453
4.18,359.17584,-2.30073
4.18,308.46232,0.43330
4.19,338.18359,-4.87710
4.2,37.89408,-6.30968
4.2,292.44003,4.16750
4.21,279.13901,-3.17510
4.21,328.20041,1.40588
4.21,222.84110,-4.27295
4.22,43.39507,10.41138
4.22,147.87223,4.19524
4.23,325.49662,-4.00626
4.23,0.62529,-1.04646
4.23,340.89534,12.34131
4.23,197.22549,9.99689
4.25,163.15346,-0.84820
4.25,28.89357,-0.29189
4.26,22.18109,-2.40868
4.26,192.53099,7.22133
4.26,327.82232,-7.27658
4.26,327.14870,-1.86397
4.28,188.63669,4.40816
4.28,332.34930,-0.98110
4.29,5.12969,-3.08129
4.3,194.24257,2.59581
4.31,286.35686,2.81830
4.31,147.40051,-2.30686
4.32,337.47414,1.61893
4.32,22.56989,1.05490
4.33,355.44183,-2.46810
4.33,5.03613,3.06949
4.33,275.86853,-2.97998
4.34,232.64480,-1.03535
4.37,0.92415,-4.85332
4.37,336.28818,-6.99155
4.38,1.33324,-1.28905
4.39,2.60864,5.59385
4.42,14.27183,4.21375
